Strains,Replicate,N0,r,a11
550,29,7700,0.16605345026127138,-1.0483451531082455e-08
550,30,7500,0.16766381957427712,-1.4157857424018788e-08
550,31,7420,0.16366047979913045,-1.0549011414736955e-08
550,32,7350,0.17187093358630678,-1.4447889031180906e-08
550,33,7140,0.16315907970472143,-1.2639109337163782e-08
550,34,7460,0.16525875466032813,-1.3552141450972416e-08
550,35,6820,0.16646125832201164,-1.0468263771006105e-08
550,36,7390,0.16943647623241587,-1.3518942975454473e-08
550,37,7350,0.17235253154927388,-1.3961816364555818e-08
550,38,6820,0.17092820267419717,-1.4657675254319249e-08
550,39,7250,0.16436438332444936,-9.979045225481271e-09
550,40,7740,0.16732812102377048,-1.364140929843399e-08
550,41,7880,0.1634363712539919,-1.2914799596456458e-08
550,42,7040,0.16929760901943314,-1.2173014444673398e-08
550,43,7210,0.16619426506012502,-1.4150677880685482e-08
550,44,7250,0.16862618637184668,-1.0820793871962629e-08
550,45,7040,0.1630938889904403,-1.2911570340315023e-08
550,46,7120,0.1713983104779082,-1.5432704620983125e-08
550,47,7120,0.16753414102380326,-1.008427797217965e-08
550,48,7700,0.16208241306237225,-1.129115668268401e-08
550,49,7470,0.16594561411678177,-1.0704751639858165e-08
253,0,1970,0.33920714513485806,-1.05815601506422e-07
253,1,1980,0.33012815300548415,-1.0719516777973034e-07
253,2,1980,0.32635826165679005,-9.972823617312526e-08
253,3,1970,0.31742946270010297,-9.173705695872748e-08
253,4,1970,0.34071798748466486,-9.958083799146861e-08
253,5,1980,0.32457959500748956,-8.961288683807495e-08
253,6,1960,0.3418262137152288,-1.1078079455059011e-07
253,7,1980,0.34301124316095943,-1.1577774769632885e-07
253,8,1850,0.33672509155437247,-1.0904031832006648e-07
253,9,2050,0.33995177227989903,-1.0123059603811032e-07
253,10,2030,0.337883160193276,-9.921759941397255e-08
253,11,1980,0.34976659902569607,-1.0990579868063502e-07
253,12,1820,0.34551998372937787,-1.1302181864705006e-07
253,13,2060,0.34229836908625755,-1.0573054651946814e-07
253,14,1810,0.3241128003609328,-1.0068923735287057e-07
253,15,1810,0.3276727900962797,-1.0732679227931971e-07
253,16,1970,0.3407558291995685,-9.210663176878598e-08
253,17,2040,0.32917458117621623,-1.052890902623004e-07
253,18,1750,0.32617902650827535,-9.628286753902593e-08
253,19,1970,0.3305857762245734,-1.0607997928951575e-07
253,20,1680,0.33764724741893504,-1.0917357419434493e-07
253,21,1870,0.3447628935726256,-1.0039432297166217e-07
253,22,1820,0.3491346771333157,-1.0235230467852631e-07
